ball,score,commentary
9.1,4,"Cummins to du Plessis, FOUR runstries to cramp him for room like Cummins did in his first over but du Plessis does well to adjust and swipe it away towards fine leg in the gap"
8.6,W,"Markande to Patidar, OUTholes out while attempting another big one! Pitched up on middle with some drift, Patidar swings big on the leg side towards the longest part of the boundary and he finds Nitish Reddy placed in between deep midwicket and long-on. Caught right at the rope"
8.5,2,"Markande to Patidar,  2 runsgoes down the ground again, this time to the right of long-on and it doesn't carry so they settle for two"
8.5,1w,"Markande to Patidar, 1 widetoo slow and wide, he lets it go and it's called a wide"
8.4,6,"Markande to Patidar,  SIX runs89.7kmh, flatter and straighter and this time Patidar has smacked it back with a quick swing, bang into the sight screen"
8.3,•,"Markande to Patidar, no runslows it down to 80.5kmh outside off, and Patidar waits before steering to short third"
8.2,1,"Markande to du Plessis,  1 runnot a lot of pace, and du Plessis swings big but only for one to leg"
8.1,1,"Markande to Patidar,  1 runcoming in towards the pads and he tucks it fine for one"
7.6,W,"Unadkat to du Plessis, OUTdrilled back and Jacks is outside his crease while the bails have gone off after a deflection! Jacks might be kicking himself for that. Du Plessis hit it straight back, it went off Unadkat's right hand as he went down and got just enough to deflect it to the stumps"
7.5,4,"Unadkat to du Plessis, FOUR runsslow, wide and going away further. That's a poor delivery and du Plessis slashes that over short third after cashing in on the width"
7.4,1,"Unadkat to Jacks,  1 runslow and wide, Jacks chases it for a single to sweeper cover"
7.3,4,"Unadkat to Jacks, FOUR runsa clever slow bouncer at 110kmh, and Jacks does well to adjust and get some bat off the hook to send that for four fine on leg"
7.2,1,"Unadkat to du Plessis,  1 runtakes the pace off as he often does and du Plessis waits before slicing to point"
7.1,6,"Unadkat to du Plessis,  SIX runs130.1kmh, starts with a short ball and du Plessis has launched that over the deep square boundary with a mighty pull that sails all the way!"
6.6,1,"Markande to du Plessis,  1 runtoo short with width outside off but du Plessis can only reach out for a single to long off"
6.5,1,"Markande to Jacks,  1 runswings across the line and gets a single off the googly to short fine leg"
6.4,1,"Markande to du Plessis,  1 rungoes back in the crease and works it down to long-on for one more"
6.3,1,"Markande to Jacks,  1 runtight on the stumps on length and he pushes it down for one"
6.2,W,"Markande to Kohli, OUTKohli has been castled! Chinnaswamy has been silenced because Markande has beaten the top-scorer of this IPL with some skill. Slows that down beautifully to 83.7kmh, it's a googly too, and Kohli goes for a sweep with hard hands but he misses it completely and looks back in horror"
6.1,1,"Markande to du Plessis,  1 runcoming into the batter from off, worked down to long-off"
5.6,4,"Cummins to Kohli, FOUR runsmakes room for the last ball and smokes that back over du Plessis' head for four. Takes advantage of the last ball of the powerplay and gets another four"
5.5,•,"Cummins to Kohli, no runangling into Kohli as well, even he can't put it away off the swipe"
5.4,1,"Cummins to du Plessis,  1 runshort of good length, he wants to slap it back but is hit high on the bat so only a single to mid-off"
5.3,•,"Cummins to du Plessis, no run143.8kmh, just like the first ball but much quicker and it's angled into him at good pace. Du Plessis has been hit right in the batteries and he's crouching for a short break"
5.2,4,"Cummins to du Plessis, FOUR runsmuch straighter and this time du Plessis sends that crashing back over the bowler's head. Off the middle despite decent bounce, on the up and it's four"
5.1,•,"Cummins to du Plessis, no run137.6kmh, angles it into the body and du Plessis can't connect. It goes off the pad to the keeper"
4.6,6,"Natarajan to Kohli,  SIX runsfull toss to end the over and guess what's the treatment? On the pads and flicked to the square leg boundary, the ball is lost in the crowd"
4.5,2,"Natarajan to Kohli,  2 runsheaves down the ground, he hasn't middled that either, but the field is not spread out yet and he beats mid-off by a few yards"
4.4,•,"Natarajan to Kohli, no runalmost kisses leg stump! Kohli charges down to flick it away but Natarajan has pitched it right in the block hole and beats the batter completely."
4.3,4,"Natarajan to Kohli, FOUR runsthat's gone high on the off side off a slice and goes for four! Didn't look like it would beat the fielder initially, but Kohli swung hard and even though he sliced it high, it beat point eventually"
4.2,1,"Natarajan to du Plessis,  1 run137.2kmh, du Plessis pulls the slightly short ball and there's cover in the deep on leg, so just a single"
4.1,1,"Natarajan to Kohli,  1 runswings it into the leg side and gets a single to deep square leg for one"
3.6,4,"Bhuvneshwar to du Plessis, FOUR runsfourth four of the over! Slightly short, no fielder in the deep on leg and du Plessis targets the same boundary again. Almost middles it and it's a short boundary there"
3.5,4,"Bhuvneshwar to du Plessis, FOUR runsgoes for the pull again and this one doesn't swing as much, du Plessis sends that racing to the midwicket boundary"
3.4,•,"Bhuvneshwar to du Plessis, no runheaves and misses! Swinging in from outside off from length, du Plessis goes for a big swing but doesn't connect at all"
3.3,1,"Bhuvneshwar to Kohli,  1 runshort of length outside off, taps it to cover point for one"
3.2,4,"Bhuvneshwar to Kohli, FOUR runsswishes at it outside off, it wasn't a bad ball, but the ball takes a flying edge and sails fine on the off side for a on-bounce four"
3.1,4,"Bhuvneshwar to Kohli, FOUR runstoo short for Kohli and he stands tall to pull that away just wide of mid-on in the vacant gap. Middled for four!"
2.6,6,"Shahbaz Ahmed to du Plessis,  SIX runsis that another six! Might have landed straight on the boundary ropes. Shahbaz slowed it down, du Plessis swiped at it down the ground and even though he didn't look very convincing, he had enough on it"
2.5,1,"Shahbaz Ahmed to Kohli,  1 runcuts off the back foot for a dive at backward point and yet he takes off for a single because du Plessis was a long way down and Kohli makes it"
2.4,1,"Shahbaz Ahmed to du Plessis,  1 runsome room and he drives to wide long-off for one"
2.3,6,"Shahbaz Ahmed to du Plessis,  SIX runsmakes a lot of room for the full ball on middle and he has sent that into the orbit! Lofted a long way over the cover boundary for massive cheers from the crowd. Goes all the way"
2.2,•,"Shahbaz Ahmed to du Plessis, no runbacks away just a bit and drives into the covers"
2.1,4,"Shahbaz Ahmed to du Plessis, FOUR runsdu Plessis swings outside off and he too gets an edge, four runs fine on the off side because short third is in the circle"
1.6,•,"Bhuvneshwar to Kohli, no runcomes down a step and drives but can't clear mid off"
1.5,6,"Bhuvneshwar to Kohli,  SIX runsflicked for six, the crowd loves this! Too full and Kohli is not going to spare that. Excellent timing to roll his wrists over that one right in the end and it lands in the crowd"
1.4,4,"Bhuvneshwar to Kohli, FOUR runsjust over short third for four! Kohli is living dangerously but that might be the only way to go tonight. Gets a thick edge outside off for a slash and it just goes over the fielder leaping in the circle"
1.3,•,"Bhuvneshwar to Kohli, no runswings and misses! Comes down the track for a heave but Bhuvneshwar has slowed it down and it goes over the bat with spongy bounce"
1.2,•,"Bhuvneshwar to Kohli, no rungood bounce outside off at 133.7kmh, Kohli steers to backward point"
1.1,1,"Bhuvneshwar to du Plessis,  1 runswinging in and du Plessis clips it for one to fine leg"
0.6,4,"Abhishek to Kohli, FOUR runsis this what is called rubbing salt in the wounds? Shorter length and Kohli rocks back to pull that to the square leg boundary for four"
0.5,•,"Abhishek to Kohli, no runKohli has been put down! Abhishek gets a quick return catch and for some reason he doesn't go for it with both hands. Sticks his right hand out after Kohli smacks it back and it doesn't stick there"
0.4,1,"Abhishek to du Plessis,  1 runconnects with the flick this time for a single to the leg side"
0.3,•,"Abhishek to du Plessis, no runmakes room and Abhishek follows him to cramp him up, du Plessis can barely connect"
0.2,4,"Abhishek to du Plessis, FOUR runsturn outside off and that's been edged away for four! Du Plessis didn't move his feet at all and went after that ball well outside off and was going away further, thick edge and he'll taker those four runs"
0.1,1,"Abhishek to Kohli,  1 runpitched up first ball on middle with some drift and Kohli adjusts to flick it away for one"
